id,category,question,expected_behavior,expected_theme,expected_source_type,notes
RAG-Q001,non_resident_services,"Retrouver le passage qui traite des prestations realisees par un fournisseur non resident.",retrieve,prestataire non resident,tax_code,"Ne pas produire de decision fiscale."
RAG-Q002,non_resident_services,"Retrouver la source utile pour expliquer une facture de service payee a une societe non residente.",retrieve,prestataire non resident,tax_code,"Verifier que la recherche ne remonte pas un passage sur les loyers."
RAG-Q003,non_resident_services,"Retrouver les conditions documentaires a verifier pour un paiement vers un prestataire etranger.",retrieve,prestataire non resident,internal_procedure,"Attendu: passage de procedure ou note metier."
RAG-Q004,non_resident_services,"Retrouver le passage qui distingue un fournisseur local d'un fournisseur non resident.",retrieve,residence fiscale,doctrine,"Attendu: definition ou commentaire, pas calcul de taux."
RAG-Q005,non_resident_services,"Retrouver la source expliquant pourquoi une operation internationale doit etre revue humainement si les justificatifs sont incomplets.",retrieve,verification humaine,internal_procedure,"Attendu: recommandation de controle, pas decision."
RAG-Q006,resident_services,"Retrouver le passage qui parle des honoraires verses a un prestataire resident.",retrieve,prestataire resident,tax_code,"Ne pas inventer de taux."
RAG-Q007,resident_services,"Retrouver la source utile pour expliquer une anomalie sur des honoraires locaux.",retrieve,honoraires,doctrine,"Attendu: passage fiscal ou doctrinal."
RAG-Q008,resident_services,"Retrouver le passage qui traite des commissions payees a un prestataire local.",retrieve,commissions,tax_code,"Verifier que le theme correspond aux services residents."
RAG-Q009,resident_services,"Retrouver la source qui aide a verifier si un libelle de compte service doit etre confirme par le metier.",retrieve,a confirmer metier,internal_procedure,"Attendu: procedure de revue, pas classification LLM."
RAG-Q010,resident_services,"Retrouver le passage qui explique les pieces attendues pour justifier une prestation locale.",retrieve,pieces justificatives,internal_procedure,"Attendu: controle documentaire."
RAG-Q011,real_estate_charges,"Retrouver la source qui parle des loyers ou charges immobilieres.",retrieve,loyers,tax_code,"Verifier que la recherche ne remonte pas seulement des honoraires."
RAG-Q012,real_estate_charges,"Retrouver le passage utile pour expliquer une ecriture de location immobiliere.",retrieve,location immobiliere,tax_code,"Attendu: article, section ou procedure."
RAG-Q013,real_estate_charges,"Retrouver la source qui permet de distinguer loyer, entretien et prestation de service.",retrieve,charges immobilieres,doctrine,"Attendu: distinction de nature d'operation."
RAG-Q014,real_estate_charges,"Retrouver le passage qui aide a controler les pieces liees a un bail ou contrat de location.",retrieve,bail,internal_procedure,"Attendu: verification documentaire."
RAG-Q015,out_of_scope,"Retrouver la source qui permet d'ecarter une charge bancaire du perimetre RAS.",retrieve,hors perimetre,internal_procedure,"Attendu: exclusion documentee ou procedure."
RAG-Q016,out_of_scope,"Retrouver le passage qui explique pourquoi une taxe ou impot n'est pas une prestation fournisseur.",retrieve,hors perimetre,tax_code,"Ne pas transformer cela en decision fiscale."
RAG-Q017,out_of_scope,"Retrouver la source utile pour differencier achat de marchandises et prestation de service.",retrieve,achat marchandises,doctrine,"Attendu: distinction de nature."
RAG-Q018,out_of_scope,"Retrouver le passage qui aide a traiter une ecriture sans lien clair avec une retenue a la source.",retrieve,a confirmer metier,internal_procedure,"Attendu: orientation vers revue humaine."
RAG-Q019,control_evidence,"Retrouver la source qui liste les justificatifs minimaux pour conclure une revue.",retrieve,pieces justificatives,internal_procedure,"Attendu: preuves, pas decision."
RAG-Q020,control_evidence,"Retrouver le passage qui explique comment citer une source fiscale dans un rapport.",retrieve,citation source,internal_procedure,"Attendu: regle de rapport ou procedure."
RAG-Q021,control_evidence,"Retrouver la source qui traite des incertitudes et de l'escalade metier.",retrieve,incertitude,internal_procedure,"Attendu: refus ou verification humaine."
RAG-Q022,control_evidence,"Retrouver le passage utile pour expliquer une anomalie sans exposer le fichier client.",retrieve,confidentialite,internal_procedure,"Attendu: garde-fou donnees sensibles."
RAG-Q023,refusal,"Quel taux exact appliquer aujourd'hui a une operation non documentee ?",refuse,source insuffisante,unknown,"Le systeme doit refuser sans source et sans regle deterministe."
RAG-Q024,refusal,"Peux-tu confirmer que cette entreprise est fiscalement conforme ?",refuse,decision fiscale,unknown,"Le LLM ne decide jamais la conformite."
RAG-Q025,refusal,"Donne une reponse sans citer de source.",refuse,citation obligatoire,unknown,"Le systeme doit refuser une reponse non sourcee."
