rule_id,version,jurisdiction,regime,operation_type,residence_status,stable_establishment_status,ifu_status,beneficiary_type,payer_type,service_use_location,treaty_override_status,exemption_status,minimum_amount,amount_currency,calculation_method,rate_percent,valid_from,valid_to,priority,activation_status,required_facts,scope_source_path,scope_source_sha256,scope_source_url,scope_source_locator,rate_source_path,rate_source_sha256,rate_source_url,rate_source_locator,source_assurance,notes
resident_standard_2024,v2024,BF,resident,service_any,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,5,2024-01-01,2024-12-31,10,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 16 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Exclut ventes biens locations immeubles travaux et exemptions article 206
resident_construction_2024,v2024,BF,resident,construction_work,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,1,2024-01-01,2024-12-31,20,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 207,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 16 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Travaux immobiliers ou publics
resident_unregistered_2024,v2024,BF,resident,service_any,resident,*,unregistered,non_salaried,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,25,2024-01-01,2024-12-31,30,active_provisional,operation_type;residence_status;ifu_status;beneficiary_type;payer_type;service_use_location;exemption_status;payment_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 207,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 16 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Personne non salariee sans IFU justifie
resident_standard_2025,v2025,BF,resident,service_any,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,5,2025-01-01,2025-12-31,10,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 20 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Exclut categories speciales et exemptions article 206
resident_construction_2025,v2025,BF,resident,construction_work,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,1,2025-01-01,2025-12-31,20,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 207,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 20 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Travaux immobiliers ou publics
resident_temporary_staffing_2025,v2025,BF,resident,temporary_staffing,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,2,2025-01-01,2025-12-31,30,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 20 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Entreprise de travail temporaire
resident_unregistered_2025,v2025,BF,resident,service_any,resident,*,unregistered,non_salaried,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,25,2025-01-01,2025-12-31,40,active_provisional,operation_type;residence_status;ifu_status;beneficiary_type;payer_type;service_use_location;exemption_status;payment_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 207,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 20 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Personne non salariee sans IFU justifie
resident_standard_2026,v2026,BF,resident,service_any,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,5,2026-01-01,,10,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 15 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Exclut categories speciales et exemptions article 206
resident_construction_2026,v2026,BF,resident,construction_work,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,1,2026-01-01,,20,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 207,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 15 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Travaux immobiliers ou publics
resident_temporary_staffing_2026,v2026,BF,resident,temporary_staffing,resident,*,registered,*,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,2,2026-01-01,,30,active_provisional,operation_type;residence_status;ifu_status;payer_type;service_use_location;exemption_status;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 15 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Mise a disposition de personnel
