question_id,expected_behavior,status,expected_chunk_references,reason
RAG-Q001,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q002,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q003,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S3:3,"Question couverte par la procedure interne sur les pieces justificatives."
RAG-Q004,retrieve,pending_source,,"Doctrine ou definition validee manquante."
RAG-Q005,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S2:2,"Question couverte par la procedure interne sur la verification humaine."
RAG-Q006,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q007,retrieve,pending_source,,"Doctrine ou source fiscale validee manquante."
RAG-Q008,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q009,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S2:2,"Question couverte par la procedure interne sur le statut a confirmer."
RAG-Q010,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S3:3,"Question couverte par la procedure interne sur les pieces justificatives."
RAG-Q011,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q012,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q013,retrieve,pending_source,,"Doctrine ou source fiscale validee manquante."
RAG-Q014,retrieve,pending_source,,"Procedure interne anonymisee manquante."
RAG-Q015,retrieve,pending_source,,"Procedure interne anonymisee manquante."
RAG-Q016,retrieve,pending_source,,"Source fiscale anonymisee manquante."
RAG-Q017,retrieve,pending_source,,"Doctrine ou source fiscale validee manquante."
RAG-Q018,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S2:2,"Question couverte par la procedure interne sur l'escalade metier."
RAG-Q019,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S3:3,"Question couverte par la procedure interne sur les pieces justificatives."
RAG-Q020,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S4:4,"Question couverte par la procedure interne sur les citations."
RAG-Q021,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S2:2,"Question couverte par la procedure interne sur l'incertitude."
RAG-Q022,retrieve,ready,Procedure interne RAG et revue fiscale:PROC-001-S5:5,"Question couverte par la procedure interne sur la confidentialite."
RAG-Q023,refuse,ready,,"Refus attendu: source insuffisante et pas de regle deterministe."
RAG-Q024,refuse,ready,Procedure interne RAG et revue fiscale:PROC-001-S1:1,"Refus attendu: le LLM ne decide pas la conformite fiscale."
RAG-Q025,refuse,ready,Procedure interne RAG et revue fiscale:PROC-001-S4:4,"Refus attendu: citation obligatoire."
